exp	dist_thr	count_thr	contacts_tot	contacts_preprocessed	contacts_filtered	alpha
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	10000000	0.25	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0	82153546	184919493	7207931	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0	82153546	184919493	21678	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.05	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	100000000	0.25	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0	82153546	179592892	7180183	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0	82153546	179592892	17048	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.05	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	25000000	0.25	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0	82153546	124606496	6184402	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0	82153546	124606496	6151	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.05	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	5000000	0.25	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0	82153546	179784760	7272213	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0	82153546	179784760	19531	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.01	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.01	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.05	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.05	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.1	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.1	82153546	0	0	0.05
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.25	82153546	0	0	optimal
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_10kb	50000000	0.25	82153546	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0	168557167	198151458	6962628	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0	168557167	198151458	9942	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.01	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.01	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.05	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.05	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.1	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.1	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.25	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.25	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0	168557167	266140898	9546951	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0	168557167	266140898	23428	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0.01	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0.01	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0.05	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0.05	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0.1	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0.1	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0.25	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0.25	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0	168557167	217477028	7921470	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0	168557167	217477028	16361	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0.01	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0.01	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0.05	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0.05	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0.1	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0.1	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0.25	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	25000000	0.25	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0	168557167	164266117	6287467	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0	168557167	164266117	6976	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0.01	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0.01	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0.05	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0.05	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0.1	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0.1	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0.25	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	5000000	0.25	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0	168557167	247372119	8828834	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0	168557167	247372119	20581	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0.01	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0.01	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0.05	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0.05	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0.1	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0.1	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0.25	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	50000000	0.25	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0	168557167	198151458	7973511	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0	168557167	198151458	3451	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.01	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.01	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.05	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.05	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.1	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.1	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.25	168557167	0	0	optimal
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	10000000	0.25	168557167	0	0	0.05
GM_set1_bio5_tec1_4DNFIROARX7U_10kb	100000000	0	168557167	266140898	10165786	optimal
