	distance_thr	counts_thr	time (s)	file	res	cell	set
196	100000000.0	0.01	610.8237380981445	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
197	100000000.0	0.05	451.4360146522522	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
198	100000000.0	0.1	417.0916106700897	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
199	100000000.0	0.25	407.325211763382	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb	5kb	GM	set1
200	5000000.0	0.0	661.9827692508698	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
201	5000000.0	0.01	625.5039296150208	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
202	5000000.0	0.05	546.3060433864594	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
203	5000000.0	0.1	365.9200642108917	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
204	5000000.0	0.25	340.8324747085572	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
205	10000000.0	0.0	562.633702993393	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
206	10000000.0	0.01	651.6877355575562	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
207	10000000.0	0.05	552.145947933197	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
208	10000000.0	0.1	469.4947662353516	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
209	10000000.0	0.25	373.39213943481445	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
210	25000000.0	0.0	595.5372257232666	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
211	25000000.0	0.01	536.867104768753	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
212	25000000.0	0.05	521.7085597515106	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
213	25000000.0	0.1	470.0380437374115	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
214	25000000.0	0.25	511.63814067840576	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
215	50000000.0	0.0	740.7750685214996	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
216	50000000.0	0.01	602.5007228851318	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
217	50000000.0	0.05	514.6612474918365	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
218	50000000.0	0.1	465.3266208171845	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
219	50000000.0	0.25	491.2958822250366	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
220	100000000.0	0.0	721.7601573467255	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
221	100000000.0	0.01	559.506795167923	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
222	100000000.0	0.05	387.05423498153687	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
223	100000000.0	0.1	355.40672969818115	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
224	100000000.0	0.25	360.5035665035248	GM_set2_bio1_tec2_4DNFI3YOU78V_5kb	5kb	GM	set2
225	5000000.0	0.0	830.6956851482391	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_10kb	10kb	IMR90	set1
226	5000000.0	0.01	809.0975668430328	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_10kb	10kb	IMR90	set1
