Dataset	Cell line	Method	Interaction type	Jaccard Index
Rao	IMR90	Fit-Hi-C	cis	0.004
Rao	IMR90	Fit-Hi-C	cis	0.000
Rao	IMR90	Fit-Hi-C	cis	0.006
Rao	IMR90	Fit-Hi-C	cis	0.011
Rao	IMR90	Fit-Hi-C	cis	0.003
Rao	IMR90	Fit-Hi-C	trans	NA
Rao	GM12878	Fit-Hi-C	trans	NA
Dixon 2012	H1-hESC	GOTHiC	cis	0.131
Dixon 2012	IMR90	GOTHiC	cis	0.575
Dixon 2012	H1-hESC	GOTHiC	trans	0.146
Dixon 2012	IMR90	GOTHiC	trans	0.349
Dixon 2015	H1-hESC	GOTHiC	cis	NA
Dixon 2015	H1-hESC	GOTHiC	trans	NA
Jin	IMR90	GOTHiC	cis	0.139
Jin	IMR90	GOTHiC	cis	0.019
Jin	IMR90	GOTHiC	cis	0.009
Jin	IMR90	GOTHiC	cis	0.011
Jin	IMR90	GOTHiC	cis	0.004
Jin	IMR90	GOTHiC	cis	0.269
Jin	IMR90	GOTHiC	cis	0.008
Jin	IMR90	GOTHiC	cis	0.003
Jin	IMR90	GOTHiC	cis	0.192
Jin	IMR90	GOTHiC	cis	0.401
Jin	IMR90	GOTHiC	cis	0.007
Jin	IMR90	GOTHiC	cis	0.003
Jin	IMR90	GOTHiC	cis	0.142
Jin	IMR90	GOTHiC	cis	0.287
Jin	IMR90	GOTHiC	cis	0.433
Jin	IMR90	GOTHiC	trans	0.389
Jin	IMR90	GOTHiC	trans	0.231
Jin	IMR90	GOTHiC	trans	0.190
Jin	IMR90	GOTHiC	trans	0.264
Jin	IMR90	GOTHiC	trans	0.240
Jin	IMR90	GOTHiC	trans	0.562
Jin	IMR90	GOTHiC	trans	0.283
Jin	IMR90	GOTHiC	trans	0.292
Jin	IMR90	GOTHiC	trans	0.448
Jin	IMR90	GOTHiC	trans	0.577
Jin	IMR90	GOTHiC	trans	0.249
Jin	IMR90	GOTHiC	trans	0.308
Jin	IMR90	GOTHiC	trans	0.346
Jin	IMR90	GOTHiC	trans	0.433
Jin	IMR90	GOTHiC	trans	0.580
Lieberman-Aiden	GM06990	GOTHiC	cis	0.122
Lieberman-Aiden	GM06990	GOTHiC	cis	0.147
Lieberman-Aiden	GM06990	GOTHiC	cis	0.592
Lieberman-Aiden	GM06990	GOTHiC	cis	0.494
Lieberman-Aiden	GM06990	GOTHiC	cis	0.203
Lieberman-Aiden	GM06990	GOTHiC	cis	0.243
Lieberman-Aiden	GM06990	GOTHiC	trans	0.004
Lieberman-Aiden	GM06990	GOTHiC	trans	0.004
Lieberman-Aiden	GM06990	GOTHiC	trans	0.429
Lieberman-Aiden	GM06990	GOTHiC	trans	0.016
Lieberman-Aiden	GM06990	GOTHiC	trans	0.128
Lieberman-Aiden	GM06990	GOTHiC	trans	0.128
Rao	GM12878	GOTHiC	cis	0.002
Rao	GM12878	GOTHiC	cis	0.242
Rao	GM12878	GOTHiC	cis	0.004
Rao	GM12878	GOTHiC	cis	0.214
Rao	GM12878	GOTHiC	cis	0.005
Rao	GM12878	GOTHiC	cis	0.238
Rao	GM12878	GOTHiC	cis	0.002
Rao	GM12878	GOTHiC	cis	0.050
Rao	GM12878	GOTHiC	cis	0.004
Rao	GM12878	GOTHiC	cis	0.004
Rao	GM12878	GOTHiC	cis	0.103
Rao	GM12878	GOTHiC	cis	0.008
Rao	GM12878	GOTHiC	cis	0.132
Rao	GM12878	GOTHiC	cis	0.138
Rao	GM12878	GOTHiC	cis	0.007
Rao	GM12878	GOTHiC	cis	0.103
Rao	GM12878	GOTHiC	cis	0.008
Rao	GM12878	GOTHiC	cis	0.132
Rao	GM12878	GOTHiC	cis	0.138
Rao	GM12878	GOTHiC	cis	0.006
Rao	GM12878	GOTHiC	cis	0.120
Rao	GM12878	GOTHiC	cis	0.175
Rao	GM12878	GOTHiC	cis	0.005
Rao	GM12878	GOTHiC	cis	0.195
Rao	GM12878	GOTHiC	cis	0.193
Rao	GM12878	GOTHiC	cis	0.004
Rao	GM12878	GOTHiC	cis	0.130
Rao	GM12878	GOTHiC	cis	0.129
Rao	GM12878	GOTHiC	cis	0.000
Rao	GM12878	GOTHiC	cis	0.040
Rao	GM12878	GOTHiC	cis	0.000
Rao	GM12878	GOTHiC	cis	0.001
Rao	GM12878	GOTHiC	cis	0.063
Rao	GM12878	GOTHiC	cis	0.001
Rao	GM12878	GOTHiC	cis	0.001
Rao	GM12878	GOTHiC	cis	0.001
Rao	GM12878	GOTHiC	cis	0.008
Rao	GM12878	GOTHiC	cis	0.030
Rao	GM12878	GOTHiC	cis	0.014
Rao	GM12878	GOTHiC	cis	0.015
Rao	GM12878	GOTHiC	cis	0.034
Rao	GM12878	GOTHiC	cis	0.021
Rao	GM12878	GOTHiC	cis	0.021
Rao	GM12878	GOTHiC	cis	0.013
Rao	GM12878	GOTHiC	cis	0.016
Rao	GM12878	GOTHiC	cis	0.246
Rao	GM12878	GOTHiC	cis	0.001
Rao	GM12878	GOTHiC	cis	0.148
Rao	GM12878	GOTHiC	cis	0.125
Rao	GM12878	GOTHiC	cis	0.001
Rao	GM12878	GOTHiC	cis	0.056
